571,63.166,T,C61   ,4303239,610,230,2006-01-02,6:11:23
572,64.724,T,C64K  ,4916289,610,227,2006-01-02,6:13:26
573,63.157,T,C64T  ,4818293,610,225,2006-01-02,6:15:26
574,64.944,T,C62BK ,4618242,   ,   ,2006-01-02,6:16:19
575,65.858,T,C62B  ,4640688,600,223,2006-01-02,6:17:06
576,64.916,T,C64K  ,4940127,610,227,2006-01-02,6:17:55
577,64.559,T,C62A*K,4516101,600,217,2006-01-02,6:18:50
578,64.850,T,C62A  ,1407388,600,217,2006-01-02,6:20:59
579,63.187,T,C64K  ,4916420,610,227,2006-01-02,6:22:08
580,63.322,T,C62BT ,4602165,600,217,2006-01-02,6:22:53
581,65.013,T,C62B  ,1433152,600,223,2006-01-02,6:23:43
582,65.013,T,C62B  ,4636153,600,223,2006-01--01-02,6:29:49
587,64.390,T,C64   ,4881209,610,225,2006-01-02,6:30:59
588,62.960,T,C64K  ,4847112,610,227,2006-01-02,6:33:17
589,65.139,T,C64K  ,4883753,610,227,2006-01-02,6:33:54
590,65.139,T,C64K  ,4953097,610,227,2006-01-02,6:34:53
591,65.336,T,C62B  ,4609448,600,223,2006-01-02,6:35:54
592,65.043,T,C64K  ,4931175,610,227,2006-01-02,6:37:47

